budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,Component1,Component2,Component3,Component4,Component5,cluster,Segment
4800000.0,Hostel LLC,USA,Eli Roth,Horror,47326473.0,Hostel,R,2006-01-06,94,5.9,Jay Hernandez,147832,Eli Roth,2005,-0.2098028683428424,0.5458663777251886,0,first
130000000.0,Twentieth Century Fox Film Corporation,USA,Ridley Scott,Action,47398413.0,Kingdom of Heaven,R,2005-05-06,144,7.2,Orlando Bloom,232742,William Monahan,2005,2.1824865793452157,-1.8446747851568641,4,
113000000.0,Lucasfilm,USA,George Lucas,Action,380262555.0,Star Wars: Episode III - Revenge of the Sith,PG-13,2005-05-19,140,7.6,Hayden Christensen,570398,George Lucas,2005,5.902403343298444,2.5246678604232975,2,third
132000000.0,Paramount Pictures,USA,Steven Spielberg,Adventure,234280354.0,War of the Worlds,PG-13,2005-06-29,116,6.5,Tom Cruise,357995,Josh Friedman,2005,4.491489171898481,0.38792476249911534,2,third
100000000.0,Warner Bros.,USA,Francis Lawrence,Drama,75976178.0,Constantine,R,2005-02-18,121,6.9,Keanu Reeves,253723,Jamie Delano,2005,1.956711951810905,-0.9244037392318825,4,
43000000.0,Twentieth Century Fox Film Corporation,Canada,Rob Bowman,Action,24409722.0,Elektra,PG-13,2005-01-14,97,4.8,Jennifer Garner,75843,Mark Steven Johnson,2005,0.24138494008807976,-0.462243971382054,3,fourth
28000000.0,Fox 2000 Pictures,USA,James Mangold,Biography,119519402.0,Walk the Line,PG-13,2005-11-18,136,7.9,Joaquin Phoenix,198923,Johnny Cash,2005,1.110550533453931,0.9799444587134433,1,second
0.0,Celador Films,UK,Neil Marshall,Adventure,26024456.0,The Descent,R,2006-08-04,99,7.2,Shauna Macdonald,167959,Neil Marshall,2005,-0.5603271717769814,0.37870938204453647,0,first
19000000.0,Metro-Goldwyn-Mayer (MGM),USA,Andrew Douglas,Drama,65233369.0,The Amityville Horror,R,2005-04-15,90,6.0,Ryan Reynolds,91483,Scott Kosar,2005,0.2790145006719109,0.49222212796921067,3,fourth
70000000.0,Columbia Pictures Corporation,USA,Andy Tennant,Comedy,179495555.0,Hitch,PG-13,2005-02-11,118,6.6,Will Smith,259673,Kevin Bisch,2005,2.6415522922844747,0.9064822747009781,1,second
