budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,votes,writer,year,Component1,Component2,Component3,Component4,Component5,cluster,Segment
12000000.0,Golan-Globus Productions,USA,Menahem Golan,Action,17768900.0,The Delta Force,R,1986-02-14,125,5.6,Chuck Norris,15819,James Bruner,1986,-0.4064508398594519,0.2004954087871699,1.2220001696792582,0.5082081858585021,0.2365062210025311,3,fourth
0.0,Warner Bros.,USA,Wes Craven,Drama,8988731.0,Deadly Friend,R,1986-10-10,91,5.5,Matthew Labyorteaux,5419,Diana Henstell,1986,-1.36371191969636,-0.6199417533025758,-0.20756009065383108,0.2801399361351713,0.10890719519315856,3,fourth
0.0,TriStar Pictures,USA,Edward Zwick,Comedy,38702310.0,About Last Night...,R,1986-07-02,113,6.2,Rob Lowe,12307,David Mamet,1986,-0.4408678112084314,0.29488688294938004,0.331725380767469,0.20663144779738585,0.6139810788681695,1,second
0.0,Balcor Film Investors,USA,Steve Miner,Comedy,27820000.0,Soul Man,PG-13,1986-10-24,104,5.2,C. Thomas Howell,6440,Carol Black,1986,-1.0272363440677499,-0.5776998640377937,0.43288274174356556,0.5699138625468831,0.43316476286423444,3,fourth
0.0,A&M; Films,USA,Savage Steve Holland,Comedy,13431806.0,One Crazy Summer,PG,1986-08-08,93,6.4,John Cusack,11581,Savage Steve Holland,1986,-0.9976169325596627,0.0287103437754167,-0.547816597248081,-0.10985483044619679,0.16157075777173144,1,second
0.0,De Laurentiis Entertainment Group (DEG),USA,Charles Martin Smith,Comedy,6797218.0,Trick or Treat,R,1986-10-24,98,5.8,Marc Price,4585,Rhet Topham,1986,-1.1659895018508861,-0.20871286981916515,-0.03788996032900469,0.21340668660800036,0.12468172315433967,3,fourth
18000000.0,Paramount Pictures,USA,Ron Howard,Comedy,36611610.0,Gung Ho,PG-13,1986-03-14,112,6.2,Michael Keaton,9965,Edwin Blum,1986,-0.2531752472871021,0.08113653564442365,0.4294025962397572,-0.06972913834558575,0.3414521843133342,1,second
0.0,American Filmworks,USA,Sidney Lumet,Crime,25147055.0,The Morning After,R,1986-12-25,103,6.0,Jane Fonda,4943,James Cresson,1986,-0.8435056900973813,-0.03956294276028087,0.04655356231730291,0.16073362504192248,0.3959958185498803,1,second
0.0,Police Academy Productions,USA,Jerry Paris,Comedy,43579163.0,Police Academy 3: Back in Training,PG,1986-03-21,83,5.2,Steve Guttenberg,35443,Neal Israel,1986,-1.1667395713658366,-1.244088987700282,-0.5686873568112958,0.45548697936739835,0.430027815793268,3,fourth
175000.0,40 Acres & A Mule Filmworks,USA,Spike Lee,Comedy,7137502.0,She's Gotta Have It,R,1986-08-08,84,6.6,Tracy Camilla Johns,5257,Spike Lee,1986,-1.1918387819830076,-0.046874047816795696,-0.9841094134630048,-0.34331643288375085,0.03995750736550243,1,second
0.0,Touchstone Pictures,USA,Jim Abrahams,Comedy,71624879.0,Ruthless People,R,1986-06-27,93,6.9,Bette Midler,22554,Dale Launer,1986,-0.27681542460298986,0.037664827446237316,-0.9182462802695932,-0.3485195988389677,0.8975863206934543,1,second
